
2023-06-05|10:02:21.394820100|Fuel|Shell|-52.40
2023-09-15|08:59:22.238471900|Software License|Microsoft|-199.00
2023-08-03|14:15:12.594381000|Internet Bill|Comcast|-89.99
2024-02-20|12:17:11.203874200|Printer Ink|Amazon|-45.99
2024-03-05|09:05:39.738291000|Electric Bill|PG&E|-115.45
2024-04-11|14:09:18.382913400|Consulting Income|CloudSync|8880.00
2024-05-21|08:31:10.948372600|Clothes|Dover Street Market|-7043.80
2023-07-01|07:42:39.182938400|Paycheck Deposit|Apple|5675.00
2024-12-29|20:03:19.839204700|Gift Money|Mom|200.00
2025-05-19|17:24:22.182938400|Birthday Gift|Amazon|-45.99
2025-06-11|11:56:38.203918300|Freelance Project|Upwork|600.00
2025-09-23|15:18:13.839204700|Phone Bill|Verizon|-68.20
2025-10-03|08:42:31.552103200|Morning Coffee|Starbucks|-6.85
2025-10-07|16:17:44.934220500|Gas Refill|Shell|-42.60
2025-10-16|19:10:56.154060600|Groceries|Erewhon|-367.00
2025-10-17|11:42:12.265656700|World Series G3 Ticket|LA Dodgers|-2000.00
2025-10-17|13:33:53.971160300|Pay Check|Apple |5000.00
2025-10-17|13:34:18.617852100|Flowers|Whole foods|-20.00
2026-01-16|10:22:26.368896|transaction|google|123.00
2026-01-16|10:26:50.091569500|test to see if the newest transaction shows first|google|456.00
2026-01-16|10:30:58.314336400|payment|amazon|-12.00
